,Importance Value,Regions,Network Connection,Network Connection2
0,0.0,R_V1 | R_MST,Visual1 | Visual2,
154,0.0,R_V1 | R_V4t,Visual1 | Visual2,
155,0.0,R_V1 | R_FST,Visual1 | Visual2,
156,0.005052631578947375,R_V1 | R_V3CD,Visual1 | Visual2,
157,0.0,R_V1 | R_LO3,Visual1 | Visual2,
158,0.0,R_V1 | R_VMV2,Visual1 | Visual2,
159,0.0,R_V1 | R_31pd,Visual1 | Posterior-Mu,
160,0.0,R_V1 | R_31a,Visual1 | Posterior-Mu,
161,0.012210526315789495,R_V1 | R_VVC,Visual1 | Visual2,
162,0.0,R_V1 | R_25,Visual1 | Posterior-Mu,
163,0.0,R_V1 | R_s32,Visual1 | Posterior-Mu,
164,0.0,R_V1 | R_pOFC,Visual1 | Orbito-Affec,
165,0.0,R_V1 | R_PoI1,Visual1 | Cingulo-Oper,
166,0.0,R_V1 | R_Ig,Visual1 | Somatomotor,
167,0.0,R_V1 | R_FOP5,Visual1 | Cingulo-Oper,
168,0.0,R_V1 | R_p10p,Visual1 | Frontopariet,
169,0.0,R_V1 | R_p47r,Visual1 | Frontopariet,
170,0.0,R_V1 | R_TGv,Visual1 | Default,
171,0.0,R_V1 | R_MBelt,Visual1 | Auditory,
172,0.0,R_V1 | R_LBelt,Visual1 | Auditory,
173,0.0,R_V1 | R_A4,Visual1 | Auditory,
174,0.0,R_V1 | R_STSva,Visual1 | Posterior-Mu,
175,0.0,R_V1 | R_TE1m,Visual1 | Posterior-Mu,
176,0.0,R_V1 | R_PI,Visual1 | Cingulo-Oper,
177,0.0,R_V1 | R_a32pr,Visual1 | Cingulo-Oper,
178,0.0,R_V1 | R_p24,Visual1 | Cingulo-Oper,
179,0.0,R_V1 | L_V1,Visual1 | Visual1,
180,0.0,R_V1 | L_MST,Visual1 | Visual2,
181,0.0,R_V1 | L_V6,Visual1 | Visual2,
182,0.0,R_V1 | L_V2,Visual1 | Visual2,
183,0.0,R_V1 | L_V3,Visual1 | Visual2,
184,0.005052631578947375,R_V1 | L_V4,Visual1 | Visual2,
185,0.0,R_V1 | L_V8,Visual1 | Visual2,
186,0.0,R_V1 | L_4,Visual1 | Somatomotor,
187,0.0,R_V1 | L_3b,Visual1 | Somatomotor,
188,0.0,R_V1 | L_FEF,Visual1 | Cingulo-Oper,
189,0.0,R_V1 | L_PEF,Visual1 | Cingulo-Oper,
190,0.0,R_V1 | L_55b,Visual1 | Default,
191,0.0,R_V1 | L_V3A,Visual1 | Visual2,
192,0.0,R_V1 | L_RSC,Visual1 | Frontopariet,
193,0.0,R_V1 | L_POS2,Visual1 | Frontopariet,
194,0.0,R_V1 | L_V7,Visual1 | Visual2,
195,0.0,R_V1 | L_IPS1,Visual1 | Visual2,
196,0.0,R_V1 | L_FFC,Visual1 | Visual2,
197,0.0,R_V1 | L_V3B,Visual1 | Visual2,
198,0.0,R_V1 | L_LO1,Visual1 | Visual2,
199,0.0,R_V1 | L_LO2,Visual1 | Visual2,
200,0.0,R_V1 | L_PIT,Visual1 | Visual2,
201,-0.00042105263157894425,R_V1 | L_MT,Visual1 | Visual2,
202,0.0,R_V1 | L_A1,Visual1 | Auditory,
203,0.0,R_V1 | L_PSL,Visual1 | Cingulo-Oper,
204,0.0,R_V1 | L_SFL,Visual1 | Default,
205,0.0,R_V1 | L_PCV,Visual1 | Dorsal-atten,
206,0.0,R_V1 | L_STV,Visual1 | Dorsal-atten,
207,0.001684210526315777,R_V1 | L_7Pm,Visual1 | Frontopariet,
208,0.0,R_V1 | L_7m,Visual1 | Posterior-Mu,
209,0.0,R_V1 | L_POS1,Visual1 | Posterior-Mu,
210,0.0,R_V1 | L_23d,Visual1 | Posterior-Mu,
211,0.0,R_V1 | L_v23ab,Visual1 | Posterior-Mu,
212,0.0,R_V1 | L_d23ab,Visual1 | Posterior-Mu,
213,0.0,R_V1 | L_31pv,Visual1 | Posterior-Mu,
214,0.0,R_V1 | L_5m,Visual1 | Somatomotor,
215,0.0,R_V1 | L_5mv,Visual1 | Cingulo-Oper,
216,0.0,R_V1 | L_23c,Visual1 | Cingulo-Oper,
217,0.0,R_V1 | L_5L,Visual1 | Somatomotor,
218,0.0,R_V1 | L_24dd,Visual1 | Somatomotor,
219,0.0,R_V1 | L_24dv,Visual1 | Somatomotor,
220,0.0,R_V1 | L_7AL,Visual1 | Somatomotor,
221,0.0,R_V1 | L_SCEF,Visual1 | Cingulo-Oper,
222,0.0,R_V1 | L_6ma,Visual1 | Cingulo-Oper,
223,0.0,R_V1 | L_7Am,Visual1 | Cingulo-Oper,
224,0.0,R_V1 | L_7PL,Visual1 | Language,
225,0.0,R_V1 | L_7PC,Visual1 | Somatomotor,
226,0.0,R_V1 | L_LIPv,Visual1 | Visual2,
227,0.0,R_V1 | L_VIP,Visual1 | Visual2,
228,0.0016842105263158214,R_V1 | L_MIP,Visual1 | Language,
229,0.0,R_V1 | L_1,Visual1 | Somatomotor,
230,0.0,R_V1 | L_2,Visual1 | Somatomotor,
231,0.0,R_V1 | L_3a,Visual1 | Somatomotor,
232,0.0,R_V1 | L_6d,Visual1 | Somatomotor,
233,0.0,R_V1 | L_6mp,Visual1 | Somatomotor,
234,0.0,R_V1 | L_6v,Visual1 | Somatomotor,
235,0.0,R_V1 | L_p24pr,Visual1 | Cingulo-Oper,
236,0.0,R_V1 | L_33pr,Visual1 | Frontopariet,
237,0.0,R_V1 | L_a24pr,Visual1 | Cingulo-Oper,
238,0.0,R_V1 | L_p32pr,Visual1 | Cingulo-Oper,
239,0.0,R_V1 | L_a24,Visual1 | Posterior-Mu,
240,0.0,R_V1 | L_d32,Visual1 | Frontopariet,
241,0.0,R_V1 | L_8BM,Visual1 | Frontopariet,
242,0.0,R_V1 | L_p32,Visual1 | Posterior-Mu,
243,0.0,R_V1 | L_10r,Visual1 | Posterior-Mu,
244,0.0,R_V1 | L_47m,Visual1 | Posterior-Mu,
245,0.0,R_V1 | L_8Av,Visual1 | Posterior-Mu,
246,0.0,R_V1 | L_8Ad,Visual1 | Posterior-Mu,
247,0.0,R_V1 | L_9m,Visual1 | Posterior-Mu,
248,0.0,R_V1 | L_8BL,Visual1 | Posterior-Mu,
249,0.0,R_V1 | L_9p,Visual1 | Posterior-Mu,
250,0.0,R_V1 | L_10d,Visual1 | Posterior-Mu,
251,0.0,R_V1 | L_8C,Visual1 | Frontopariet,
252,0.0,R_V1 | L_44,Visual1 | Frontopariet,
253,0.0,R_V1 | L_45,Visual1 | Default,
254,0.0,R_V1 | L_47l,Visual1 | Posterior-Mu,
255,0.0,R_V1 | L_a47r,Visual1 | Frontopariet,
256,0.0,R_V1 | L_6r,Visual1 | Cingulo-Oper,
257,0.0,R_V1 | L_IFJa,Visual1 | Default,
258,0.0,R_V1 | L_IFJp,Visual1 | Frontopariet,
259,0.0,R_V1 | L_IFSp,Visual1 | Frontopariet,
260,0.0,R_V1 | L_IFSa,Visual1 | Cingulo-Oper,
261,0.0,R_V1 | L_p9-46v,Visual1 | Frontopariet,
262,0.0,R_V1 | L_46,Visual1 | Cingulo-Oper,
263,0.0,R_V1 | L_a9-46v,Visual1 | Frontopariet,
264,0.0,R_V1 | L_9-46d,Visual1 | Cingulo-Oper,
265,0.0,R_V1 | L_9a,Visual1 | Posterior-Mu,
266,0.0,R_V1 | L_10v,Visual1 | Posterior-Mu,
267,0.0,R_V1 | L_a10p,Visual1 | Frontopariet,
268,0.0,R_V1 | L_10pp,Visual1 | Posterior-Mu,
269,0.0,R_V1 | L_11l,Visual1 | Frontopariet,
270,0.0,R_V1 | L_13l,Visual1 | Frontopariet,
271,0.0,R_V1 | L_OFC,Visual1 | Frontopariet,
272,0.0,R_V1 | L_47s,Visual1 | Posterior-Mu,
273,0.0,R_V1 | L_LIPd,Visual1 | Language,
274,0.0,R_V1 | L_6a,Visual1 | Language,
275,0.0,R_V1 | L_i6-8,Visual1 | Frontopariet,
276,0.0,R_V1 | L_s6-8,Visual1 | Frontopariet,
277,0.0,R_V1 | L_43,Visual1 | Cingulo-Oper,
278,0.0,R_V1 | L_OP4,Visual1 | Somatomotor,
279,0.0,R_V1 | L_OP1,Visual1 | Somatomotor,
280,0.0,R_V1 | L_OP2-3,Visual1 | Somatomotor,
281,0.0,R_V1 | L_52,Visual1 | Auditory,
282,0.0,R_V1 | L_RI,Visual1 | Somatomotor,
283,-0.0008421052631578885,R_V1 | L_PFcm,Visual1 | Cingulo-Oper,
284,0.0,R_V1 | L_PoI2,Visual1 | Cingulo-Oper,
285,0.0,R_V1 | L_TA2,Visual1 | Auditory,
286,0.0,R_V1 | L_FOP4,Visual1 | Cingulo-Oper,
287,0.0,R_V1 | L_MI,Visual1 | Cingulo-Oper,
288,0.0,R_V1 | L_Pir,Visual1 | Orbito-Affec,
289,0.0,R_V1 | L_AVI,Visual1 | Frontopariet,
290,0.0,R_V1 | L_AAIC,Visual1 | Orbito-Affec,
291,0.0,R_V1 | L_FOP1,Visual1 | Cingulo-Oper,
292,0.0,R_V1 | L_FOP3,Visual1 | Cingulo-Oper,
293,0.0,R_V1 | L_FOP2,Visual1 | Somatomotor,
294,0.0,R_V1 | L_PFt,Visual1 | Language,
295,0.0,R_V1 | L_AIP,Visual1 | Language,
296,0.0,R_V1 | L_EC,Visual1 | Posterior-Mu,
297,0.0,R_V1 | L_PreS,Visual1 | Posterior-Mu,
298,0.0,R_V1 | L_H,Visual1 | Posterior-Mu,
299,0.0,R_V1 | L_ProS,Visual1 | Visual1,
300,0.0,R_V1 | L_PeEc,Visual1 | Ventral-Mult,
301,0.0,R_V1 | L_STGa,Visual1 | Default,
302,0.0,R_V1 | L_PBelt,Visual1 | Auditory,
303,0.0,R_V1 | L_A5,Visual1 | Default,
304,0.0,R_V1 | L_PHA1,Visual1 | Posterior-Mu,
305,0.0,R_V1 | L_PHA3,Visual1 | Language,
306,0.0,R_V1 | L_STSda,Visual1 | Posterior-Mu,
307,0.0,R_V1 | L_STSdp,Visual1 | Default,
308,0.0,R_V1 | L_STSvp,Visual1 | Posterior-Mu,
309,0.0,R_V1 | L_TGd,Visual1 | Posterior-Mu,
310,0.0,R_V1 | L_TE1a,Visual1 | Posterior-Mu,
311,0.0,R_V1 | L_TE1p,Visual1 | Frontopariet,
312,0.0,R_V1 | L_TE2a,Visual1 | Posterior-Mu,
313,0.0,R_V1 | L_TF,Visual1 | Ventral-Mult,
314,0.0,R_V1 | L_TE2p,Visual1 | Language,
315,0.0,R_V1 | L_PHT,Visual1 | Language,
316,0.0,R_V1 | L_PH,Visual1 | Visual2,
317,0.0,R_V1 | L_TPOJ1,Visual1 | Default,
318,0.0,R_V1 | L_TPOJ2,Visual1 | Dorsal-atten,
319,0.0,R_V1 | L_TPOJ3,Visual1 | Dorsal-atten,
320,0.0,R_V1 | L_DVT,Visual1 | Visual1,
321,0.0,R_V1 | L_PGp,Visual1 | Language,
322,0.006315789473684252,R_V1 | L_IP2,Visual1 | Frontopariet,
323,0.0,R_V1 | L_IP1,Visual1 | Frontopariet,
324,0.0,R_V1 | L_IP0,Visual1 | Language,
325,0.0,R_V1 | L_PFop,Visual1 | Cingulo-Oper,
326,0.0,R_V1 | L_PF,Visual1 | Cingulo-Oper,
327,0.0,R_V1 | L_PFm,Visual1 | Frontopariet,
328,0.0,R_V1 | L_PGi,Visual1 | Posterior-Mu,
329,0.0,R_V1 | L_PGs,Visual1 | Posterior-Mu,
330,0.0,R_V1 | L_V6A,Visual1 | Visual2,
331,0.0,R_V1 | L_VMV1,Visual1 | Visual2,
332,0.0,R_V1 | L_VMV3,Visual1 | Visual2,
333,0.0,R_V1 | L_PHA2,Visual1 | Posterior-Mu,
334,0.0,R_V1 | L_V4t,Visual1 | Visual2,
335,0.0,R_V1 | L_FST,Visual1 | Visual2,
336,0.0,R_V1 | L_V3CD,Visual1 | Visual2,
337,0.0,R_V1 | L_LO3,Visual1 | Visual2,
338,0.0,R_V1 | L_VMV2,Visual1 | Visual2,
339,0.0,R_V1 | L_31pd,Visual1 | Posterior-Mu,
340,0.0,R_V1 | L_31a,Visual1 | Frontopariet,
341,0.0,R_V1 | L_VVC,Visual1 | Visual2,
342,0.0,R_V1 | L_25,Visual1 | Posterior-Mu,
343,0.0,R_V1 | L_s32,Visual1 | Posterior-Mu,
344,0.0,R_V1 | L_pOFC,Visual1 | Orbito-Affec,
345,0.0,R_V1 | L_PoI1,Visual1 | Cingulo-Oper,
346,0.0008421052631578885,R_V1 | L_Ig,Visual1 | Somatomotor,
347,0.0,R_V1 | L_FOP5,Visual1 | Cingulo-Oper,
348,0.0,R_V1 | L_p10p,Visual1 | Frontopariet,
349,0.0,R_V1 | L_p47r,Visual1 | Frontopariet,
350,0.0,R_V1 | L_TGv,Visual1 | Default,
351,0.0,R_V1 | L_MBelt,Visual1 | Auditory,
352,0.0,R_V1 | L_LBelt,Visual1 | Auditory,
353,0.0,R_V1 | L_A4,Visual1 | Auditory,
354,0.0,R_V1 | L_STSva,Visual1 | Posterior-Mu,
355,0.0,R_V1 | L_TE1m,Visual1 | Frontopariet,
356,0.0,R_V1 | L_PI,Visual1 | Cingulo-Oper,
357,0.0,R_V1 | L_a32pr,Visual1 | Cingulo-Oper,
358,0.0,R_V1 | L_p24,Visual1 | Cingulo-Oper,
359,0.0,R_MST | R_V6,Visual2 | Visual2,
360,0.0,R_MST | R_V2,Visual2 | Visual2,
361,0.0,R_MST | R_V3,Visual2 | Visual2,
362,0.0,R_MST | R_V4,Visual2 | Visual2,
363,0.0,R_MST | R_V8,Visual2 | Visual2,
364,0.0,R_MST | R_4,Visual2 | Somatomotor,
365,0.0,R_MST | R_3b,Visual2 | Somatomotor,
366,0.0,R_MST | R_FEF,Visual2 | Cingulo-Oper,
367,0.0,R_MST | R_PEF,Visual2 | Language,
368,0.0,R_MST | R_55b,Visual2 | Default,
369,0.0,R_MST | R_V3A,Visual2 | Visual2,
370,0.0,R_MST | R_RSC,Visual2 | Frontopariet,
371,0.0,R_MST | R_POS2,Visual2 | Frontopariet,
372,0.0,R_MST | R_V7,Visual2 | Visual2,
373,0.0,R_MST | R_IPS1,Visual2 | Visual2,
374,0.0,R_MST | R_FFC,Visual2 | Visual2,
375,0.0,R_MST | R_V3B,Visual2 | Visual2,
376,0.0,R_MST | R_LO1,Visual2 | Visual2,
377,0.0,R_MST | R_LO2,Visual2 | Visual2,
378,0.0,R_MST | R_PIT,Visual2 | Visual2,
379,-0.0029473684210526317,R_MST | R_MT,Visual2 | Visual2,
380,0.0,R_MST | R_A1,Visual2 | Auditory,
381,0.0,R_MST | R_PSL,Visual2 | Default,
382,0.0,R_MST | R_SFL,Visual2 | Default,
383,0.0,R_MST | R_PCV,Visual2 | Dorsal-atten,
384,0.0,R_MST | R_STV,Visual2 | Default,
385,0.0,R_MST | R_7Pm,Visual2 | Frontopariet,
386,0.0,R_MST | R_7m,Visual2 | Posterior-Mu,
387,0.0,R_MST | R_POS1,Visual2 | Posterior-Mu,
388,0.0,R_MST | R_23d,Visual2 | Posterior-Mu,
389,0.0,R_MST | R_v23ab,Visual2 | Posterior-Mu,
390,0.0,R_MST | R_d23ab,Visual2 | Posterior-Mu,
391,0.0,R_MST | R_31pv,Visual2 | Posterior-Mu,
392,0.0,R_MST | R_5m,Visual2 | Somatomotor,
393,0.0,R_MST | R_5mv,Visual2 | Cingulo-Oper,
394,0.0,R_MST | R_23c,Visual2 | Cingulo-Oper,
395,0.0,R_MST | R_5L,Visual2 | Somatomotor,
396,0.0,R_MST | R_24dd,Visual2 | Somatomotor,
397,0.0,R_MST | R_24dv,Visual2 | Somatomotor,
398,0.0,R_MST | R_7AL,Visual2 | Somatomotor,
399,0.0,R_MST | R_SCEF,Visual2 | Cingulo-Oper,
400,0.0,R_MST | R_6ma,Visual2 | Cingulo-Oper,
401,0.0,R_MST | R_7Am,Visual2 | Cingulo-Oper,
402,0.0,R_MST | R_7PL,Visual2 | Language,
403,0.0,R_MST | R_7PC,Visual2 | Somatomotor,
404,0.0,R_MST | R_LIPv,Visual2 | Visual2,
405,0.0,R_MST | R_VIP,Visual2 | Visual2,
406,0.0,R_MST | R_MIP,Visual2 | Language,
407,0.0,R_MST | R_1,Visual2 | Somatomotor,
408,0.0,R_MST | R_2,Visual2 | Somatomotor,
409,0.0,R_MST | R_3a,Visual2 | Somatomotor,
410,0.0,R_MST | R_6d,Visual2 | Somatomotor,
411,-0.004631578947368387,R_MST | R_6mp,Visual2 | Somatomotor,
412,0.0,R_MST | R_6v,Visual2 | Somatomotor,
413,0.0,R_MST | R_p24pr,Visual2 | Cingulo-Oper,
414,0.0,R_MST | R_33pr,Visual2 | Cingulo-Oper,
415,0.0,R_MST | R_a24pr,Visual2 | Cingulo-Oper,
416,0.0,R_MST | R_p32pr,Visual2 | Cingulo-Oper,
417,0.0,R_MST | R_a24,Visual2 | Posterior-Mu,
418,0.0,R_MST | R_d32,Visual2 | Posterior-Mu,
419,0.0,R_MST | R_8BM,Visual2 | Frontopariet,
420,0.0,R_MST | R_p32,Visual2 | Posterior-Mu,
421,0.0,R_MST | R_10r,Visual2 | Posterior-Mu,
422,0.0,R_MST | R_47m,Visual2 | Posterior-Mu,
423,0.0,R_MST | R_8Av,Visual2 | Posterior-Mu,
424,0.0,R_MST | R_8Ad,Visual2 | Posterior-Mu,
425,0.0,R_MST | R_9m,Visual2 | Posterior-Mu,
426,0.0,R_MST | R_8BL,Visual2 | Posterior-Mu,
427,0.0,R_MST | R_9p,Visual2 | Posterior-Mu,
428,0.0,R_MST | R_10d,Visual2 | Posterior-Mu,
429,0.0,R_MST | R_8C,Visual2 | Frontopariet,
430,0.0,R_MST | R_44,Visual2 | Default,
431,0.0,R_MST | R_45,Visual2 | Default,
432,0.0,R_MST | R_47l,Visual2 | Posterior-Mu,
433,0.0,R_MST | R_a47r,Visual2 | Frontopariet,
434,0.0,R_MST | R_6r,Visual2 | Cingulo-Oper,
